number,identifier,category,rationale
1,HCPCS:EXP,Expired CPT,"43760 expired effective 1/1/19 - to report, please see (43762 - 43763)"
2,BCBS:AL,NDC Numbers,Alabama BCBS requires NDC numbers.
3,BCBS:AL,NDC Numbers,Alabama BCBS requires NDC numbers on vaccine codes.
4,BCBS:AL,NDC Numbers,Add accident date info if the injury dx is primary.
5,BCBS:AL,Wellness visits - BMI & BP reporting,"When filing IPPE (G0402) and AWV (G0438 or G0439), Blue Advantage requires the BMI diagnosis code and the blood pressure reporting code . See BP codes , 3075F, 3077F, 3078F, 3079F, 3080F and/or Z68 BMI codes."
6,MCD:AL,Independent RHC claims,"RHC claims are billed on 1500 for place of service codes 11, 21, 22, 23, 31, 32."
7,MCD:AL,BMI requirement,"Beginning October 1, 2019, Primary Care Physicians (PCPs), nurse practitioners, physician assistants, PCP groups with a PCP Enrollment Agreement on file with Medicaid, Federally Qualified Health Centers (FQHCs), Rural Health Centers (RHCs), Public Health Departments, and Teaching Facilities that bill procedure codes 99202-99205, 99211-99215, and 99242-99245 must include a BMI diagnosis on the claim or the claim will be denied."
8,MCD:AL,Pediatric BMI,"Pediatric BMI diagnosis must be present for patient age 3 up to age 20 - See Z68.51, Z68.52, Z68.53, or Z68.54."
9,MCD:AL,Adult BMI,Adult BMI diagnosis must be present for patient age 20 and older.
10,MCD:AL,NDC requirement,"The NDC number will be mandatory on all physician-administered drugs in the following ranges: J0000 – J9999, S0000 – S9999, and Q0000 – Q9999."
11,MCD:AL,RHC Labs,Labs are billable and reimbursable outside of the encounter rate utilizing the non-IRHC National Provider Identifier (NPI) and on a separate claim.
12,MCD:AL,RHC POS,Claims will reject for POS 72 - update to POS 11 for RHC claims.
13,MCD:AL,Vaccines,VFC Vaccines are reimbursable outside of the encounter rate utilizing the IRHC National Provider Identifier (NPI) and on a separate claim.
14,MCD:AR,CLIA Waived Test,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
15,MCD:AR,NDC Requirement,Arkansas Medicaid requires NDC information on drug codes.
16,MCD:AR,Injection Administration Code,Injection administration code is T1502 for Arkansas Medicaid.
17,MCD:AR,AK Medicaid primary RHC,Arkansas Medicaid is billed on a UB-04.
18,BCBS:KS,BCBS Kansas referring provider,BCBS Kansas may require the ordering/referring provider information. Add referring provider.
19,BCBS:KS,"99408, 99409 - Medical Necessity","Review encounter for ICD-10 code required for 99408, 99409"
20,BCBS:KS,"99401, 99402, 99403, 99404, 99411, 99412 - Medical Necessity","Review encounter for ICD-10 code required for 99401, 99402, 99403, 99404, 99411, 99412"
21,BCBS:KS,"99406, 99407, 99411, 99412 - Medical Necessity","Review encounter for ICD-10 code required for 99406, 99407, 99411, 99412"
22,BCBS:KS,Unspecified laterality,BCBS Kansas will reject claim for unspecified laterality. Add a more specific ICD-10 code.
23,BCBS:KS,H01.119,"BCBS requires a more specified code. Please see H01.111, H01.112, H01.114, or H01.115."
24,BCBS:KS,Accident date,Add accident date if the injury diagnosis is the primary diagnosis code.
25,BCBS:TN,NDC required,BlueCare Tenncare requires NDC numbers on drug codes.
26,BCBS:TX,Modifier SA,Modifier SA is required when a supervising physician bills on behalf of a mid-level provider for non-surgical services.
27,MCD:CA,SL Modifier,Vaccine for Vaccines For Children (VFC) requires SL modifier.
28,MCD:CA,Medi-cal Qualifying Visit,Add T1015 as the reimbursable line. All other charges should be zeroed out and reported on claim as informational only.
29,MCD:CA,Medi-cal Primary,SE modifier is used to Medi-Cal wrap around payments only. Remove SE if Medi-Cal is the primary insurance.
30,MCD:CA,Medi-Cal Primary RHC,Medi-Cal is billed on UB-04.
31,MCD:CA,Medi-Cal Lab DX codes,"Review claim. Providers may not submit the following non-specific diagnosis codes when ordering billing for laboratory procedures: Z00.00, Z00.5, Z00.6, Z00.8, Z01.00, Z01.10, Z01.89, Z02.1 and Z02.3."
32,MCD:CA,TC labs,Modifier TC should be used on appropriate lab codes when pathology services are billed with an E&M procedure performed by the same provider on the same date of service.
33,MCD:CA,Labs not eligible for split billing,Labs may not be eligible for split billing. Review list of CPT codes that are not eligible for TC modifier.
34,MCD:CA,NA,"The primary surgeon or podiatrist is required to use modifier AG on the only or highest valued surgical procedure code (HCPCS Z1200 thru Z1212 and CPT® series 10000 thru 69999). Use modifier 51 for second, third or subsequent differing procedures. Use modifier 99 for third or subsequent identical procedures."
36,MCD:CA,CLIA Waived Test,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
37,MCD:CA,90461,VFC vaccines are billed with administration code 90460 - No components added.
38,MCD:CA,Contraceptive,"Use FP modifier for family planning services. This includes office visit charges, procedures and labs."
39,MCD:CA,NDC requirement,Medi-Cal requires NDC on drug codes.
40,MCD:CA,Vaccine NDC,Medi-Cal requires NDC on vaccine codes.
42,FERT,"89280, 89281 Coding Alert","89280, 89281 should not be reported for the same DOS"
