Rule Name,Category,Category II,Category III,Payer,State,Last Reviewed,Date Updated,Description of Billing Rule (See Conditions tab for alert message),Description,NOTES/Resources,,,,,,,,,,,,,,,,,,,,,,,,
**** - Expired ICD-10,Universal,,Coding,,,,,Expired ICD-10 codes - Modify language for ICD-10 code needed **See expired codes tab for current list**,M48.06 - Expired ICD-10,,,,,,,,,,,,,,,,,,,,,,,,,
***** - Expired CPT,Universal,,Coding,,,,,Expired CPT codes - Modify language for CPT code needed **See expired codes tab for current list**,43760 - Expired CPT,,,,,,,,,,,,,,,,,,,,,,,,,
***** - Additional digit required,,,,,,,,ICD-10 code (insert dx code here) requires an additional digit. Please see codes (insert dx code options with definition of dx code),,,,,,,,,,,,,,,,,,,,,,,,,,
ALBCBS1,Universal,,Payer,BCBS,Alabama,3/7/23,,Alabama BCBS requires NDC numbers on drug codes.,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBCBS2,Vaccine,,Payer,BCBS,Alabama,3/7/23,,Alabama BCBS requires NDC numbers on vaccine codes.,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBCBS3,Universal,,Payer,BCBS,Alabama,3/7/23,,Add accident date for injury ICD-10.,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBCBS4,Preventive,,Payer,BCBS,Alabama,3/7/23,,"When filing IPPE (G0402) and AWV (G0438 or G0439), Blue Advantage requires the BMI diagnosis code and the blood pressure reporting code . See BP codes 3074F, 3075F, 3077F, 3078F, 3079F, 3080F and/or Z68 BMI codes.",,,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD10,Preventive,,Coding,Medicaid,Alabama,5/1/23,5/1/23,"EP modifiers are used when billing initial, periodic and interperiodic screenings. EP modifier should also be assigned to hearing and vision screenings.",EP Modifier,https://medicaid.alabama.gov/content/Gated/7.6.1G_Provider_Manuals/7.6.1.2G_Apr2023/Apr23_A.pdf,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD2,Universal,,Payer,Medicaid,Alabama,3/8/23,,"Beginning October 1, 2019, Primary Care Physicians (PCPs), nurse practitioners, physician assistants, PCP groups with a PCP Enrollment Agreement on file with Medicaid, Federally Qualified Health Centers (FQHCs), Rural Health Centers (RHCs), Public Health Departments, and Teaching Facilities that bill procedure codes 99202-99205, 99211-99215, and 99242-99245 must include a BMI diagnosis on the claim or the claim will be denied. ",,https://medicaid.alabama.gov/content/Gated/7.6.1G_Provider_Manuals/7.6.1.1G_Jan2023.aspx,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD3,Universal,,Payer,Medicaid,Alabama,3/8/23,,"Pediatric BMI diagnosis must be present for patient age 3 up to age 20 - See Z68.51, Z68.52, Z68.53, or Z68.54. ",,https://medicaid.alabama.gov/content/Gated/7.6.1G_Provider_Manuals/7.6.1.1G_Jan2023.aspx,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD4,Universal,,Payer,Medicaid,Alabama,3/8/23,,Adult BMI diagnosis must be present for patient age 20 and older.,,https://medicaid.alabama.gov/content/Gated/7.6.1G_Provider_Manuals/7.6.1.1G_Jan2023.aspx,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD5,Universal,,Payer,Medicaid,Alabama,3/9/23,,"The NDC number will be mandatory on all physician-administered drugs in the following ranges: J0000 – J9999, S0000 – S9999, and Q0000 – Q9999.",NDC,https://medicaid.alabama.gov/news_detail.aspx?ID=4026,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD9,Universal,,Payer,Medicaid,Alabama,3/9/23,,Providers who send specimens to independent laboratories for analysis may bill a collection fee. Providers should use procedure code 36415-90 for routine venipuncture collection.,,https://medicaid.alabama.gov/content/Gated/7.6.1G_Provider_Manuals/7.6.1.1G_Jan2023.aspx,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD12,Telehealth Modifiers,,Payer,Medicaid,Alabama,5/16/23,5/16/23,Use Modifier GT for audio and visual and modifier FQ for audio-only. ,Modifiers GT/FQ for telehealth,https://medicaid.alabama.gov/documents/4.0_Programs/4.1_Covered_Services/4.1_Telemedicine_Policy_4-26-23.pdf,,,,,,,,,,,,,,,,,,,,,,,,
ALMCD14,EPSDT,,Payer,Medicaid,Alabama,5/1/23,5/1/23,"Add EPSDT info for all preventative visits for patients under 21 years old. The EPSDT Indicator will allow care to be rendered
and bypass the visit limits per year.",,https://medicaid.alabama.gov/content/Gated/7.6.1G_Provider_Manuals/7.6.1.2G_Apr2023/Apr23_A.pdf,,,,,,,,,,,,,,,,,,,,,,,,
