,Rule,Name,Alert,Conditions to be present on the encounter,Comments,,,,,,,,,,,,,,,,,,,,,,,
TRUE,Medicare does not reimburse for preventive E/M codes,Preventive Codes - Medicare,Medicare does not reimburse preventive codes,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [99386] OR CPT Code is [99385] OR CPT Code is [99387] OR CPT Code is [99395] OR CPT Code is [99396] OR CPT Code is [99397] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,The administration code for influenza vaccine for Medicare is G0008,Medicare Influenza Vaccine,The administration code for influenza vaccine for Medicare is G0008,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [90630] OR CPT Code is [90653] OR CPT Code is [90654] OR CPT Code is [90655] OR CPT Code is [90656] OR CPT Code is [90657] OR CPT Code is [90660] OR CPT Code is [90661] OR CPT Code is [90662] OR CPT Code is [90672] OR CPT Code is [90673] OR CPT Code is [90674] OR CPT Code is [90682] OR CPT Code is [90685] OR CPT Code is [90686] OR CPT Code is [90687] OR CPT Code is [90688] OR CPT Code is [90756] OR CPT Code is [Q2034] OR CPT Code is [Q2035] OR CPT Code is [Q2036] OR CPT Code is [Q2038] OR CPT Code is [Q2037] OR CPT Code is [Q2039] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,The administration code for pneumococcal vaccine for Medicare is G0009,Medicare Pneumococcal Vaccine,The administration code for pneumococcal vaccine for Medicare is G0009,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [90670] OR CPT Code is [90732] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,The administration code for Hepatitis B vaccine for Medicare is G0010,Medicare Hepatitis B Vaccine,The administration code for Hepatitis B vaccine for Medicare is G0010,Primary Insurance Class is [MEDICARE (2)] AND ( CPT Code is [90739] OR CPT Code is [90740] OR CPT Code is [90743] OR CPT Code is [90744] OR CPT Code is [90746] OR CPT Code is [90747] ),,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For Health check for newborn under 8 days old, use Z00.110",Age vs ICD-10 Discrepancy,"Health check for newborn under 8 days old, use Z00.110","Patient Age is younger than [8,days] AND ( DX Code is [Z00.00] OR DX Code is [Z00.111] OR DX Code is [Z00.121] OR DX Code is [Z00.129] OR DX Code is [Z00.01] )",Younger than condition has bug,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For  Health check for newborn 8 to 28 days old, use Z00.111",Age vs ICD-10 Discrepancy,"Health check for newborn 8 to 28 days old, use Z00.111","( Patient Age is older than [7,days] AND Patient Age is younger than [29,days] ) AND ( DX Code is [Z00.110] OR DX Code is [Z00.121] OR DX Code is [Z00.129] OR DX Code is [Z00.00] OR DX Code is [Z00.01] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For Health check (routine) for child over 28 days old, use Z00.121 or Z00.129",Age vs ICD-10 Discrepancy,"Health check for child, use Z00.121 or Z00.129","Patient Age is older than [28,days] AND Patient Age is younger than [18,years] AND ( DX Code is [Z00.110] OR DX Code is [Z00.111] OR DX Code is [Z00.00] OR DX Code is [Z00.01] )",Younger than condition has bug,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"For encounter for general adult medical examination, use Z00.00 or Z00.01",Age vs ICD-10 Discrepancy,"General adult medical examination, use Z00.00 or Z00.01","Patient Age is older than [17,years] AND ( DX Code is [Z00.110] OR DX Code is [Z00.111] OR DX Code is [Z00.121] OR DX Code is [Z00.129] )",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99381, 99391 is used for patient's younger than 1 year",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is older than 1 year old,"( CPT Code is [99381] OR CPT Code is [99391] ) AND Patient Age is older than [1,years]",,,,,,,,,,,,,,,,,,,,,,,,
TRUE,"99382, 99392 is used for patient's aged 1-4 years old",Age vs CPT Discrepancy,CPT used is not appropriate for the age of the patient - Patient is either younger than 1 year old or older than 4 years old,"CPT Code is [99392] OR CPT Code is [99382] AND ( Patient Age is younger than [1,years] OR Patient Age is older than [5,years] )",,,,,,,,,,,,,,,,,,,,,,,,
