,Rural Health Clinic Rule Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RHC1,RHC2,RHC3,RHC4,RHC5,RHC6,RHC7,RHC8,RHC9,RHC10,RHC11,RHC12,RHC13,RHC14,RHC15,RHC16,RHC17,RHC18,RHC19,RHC20,RHC21,RHC22,RHC 23,RHC24,RHC25,RHC26,RHC27,RHC28,RHC29,RHC30,RHC31,RHC32,RHC33,RHC34,RHC35,RHC36,RHC37,RHC38,RHC39,RHC40,RHC41,RHC42,RHC43,RHC44,RHC45,RHC46,RHC47,RHC48,RHC50,RHC51,RHC52,RHC53,RHC54,RHC55,RHC56,GAMCD6,GAMCD28,GAMCD44,GAMCD47,GAMCD48,ORMCD3,CAMCD10,CAMCD11,CAMCD12,ARMCD4,TXMCD1,TXMCD2,TXMCD4,TXMCD5,ILMCD1,ILMCD2,ILMCD3,ILMCD4,ILMCD5,ILMCD6,WAMCD1,WAMCD2,WAMCD3,WAMCD4,WAMCD5,WAMCD6,WAMCD7,WAMCD8,WAMCD9,WAMCD10,WAMCD11,WAMCD12,WAMCD13,WAMCD14,WAMCD15,WAMCD16,WAMCD17,WAMCD18,WAMCD19,WAMCD20,WAMCD21,WAMCD22,WAMCD23,WAMCD24,ALMCD1,ALMCD2,ALMCD3,ALMCD4,ALMCD5,ALMCD6,ALMCD7,ALMCD8,ALMCD9,ALMCD10,ALMCD11,ALMCD12,ALMCD13,ALMCD14,
Agape,6/6/22 DV,6/8/22 DV,,,,,6/9/22 DV,,,,,,,,6/14/22 DV,,,,,,,,6/13/22 DV,6/14/22 DV,,6/14/22 DV,,,,,MQ 5/9/22,,,,,,,,6/2 DV,ga10.18.22,,,,,,6/2/22 DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTTON FAMILY PRACTICE,6/6/22 DV,6/8/22 DV,PP 6.1.21,PP 6.1.21,PP 6.1.21,,6/9/22 DV,PP 6.1.21,,,,,,,6/14/22 DV,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,6/13/22 DV,6/14/22 DV,PP 6.1.21,6/14/22 DV,PP 6.1.21,PP 6.1.21,,MQ 6.10.21,MM 2/22/22,km 12/10,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,PP 6.1.21,GA10.18.22,PP 6.1.21,,PP 6.1.21,PP 6.1.21,MQ 6.10.21,6/2/22 DV,,,3/14/22 DV,3/14/22 DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRCLE OF LIFE OB & FAMILY MEDICINE,6/6/22 DV,6/8/22 DV,MQ 6/14,MQ 6/14,KC 08/16/19,N/A,6/9/22 DV,KC 08/12/19,,N/A,N/A,N/A,N/A,KC 08/13/19,6/14/22 DV,N/A,MQ 6/7,MQ 6/7,,NA,NA,NA,6/13/22 DV,6/14/22 DV,NA,6/14/22 DV,KC 08/13/19,NA,N/A,N/A,MM 2/22/22,,,,,,,,3/10/22 DV,10.27.22 JM,,,,,,2/21/22 MQ,,,3/14/22 DV,3/14/22 DV,,,,,,,N/A,,,,,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMC- INTERNAL MEDICINE AND FAMILY HEALTH (RHC),6/6/22 DV,N/A 2/14/19,KD 7/16/19,KMD 2/26/19,KC 08/16/19,N/A 2/14/19,6/9/22 DV,KC N/A,,KMD 2/26/19,NA 2/26/19,NA 2/26/19,NA 2/26/19,KC 08/13/19,6/16/22 DV,KC 08/13/19,NA 2/26/19,NA 2/26/19,KMD 2/26/19,KD 3/1/19,KD 3/1/19,KD 3/1/19,6/13/22 DV,6/16/22 DV,KD 06/19/19,6/16/22 DV,KC 08/13/19,KC 08/14/19,KC 08/14/19,KMD N/A,MM 2/23/22,KMD N/A,,KMD N/A,KD 05/5/20,KD 05/5/20,KD 05/5/20,,KMD 6/1/23,ga10.24.22,KMD 6/1/23,,,,removed KMD 5/25,5/21/22 GA,,,3/14/22 DV,3/14/22 DV,,,,,,KD 07/29/19,NA 2/26/19,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLIJAY URGENT CARE & FAMILY PRACTICE LL ,6/6/22 DV,NA,JS,JS,KC 08/16/19,N/A,6/9/22 DV,KC08/13/19,,N/A,N/A,N/A,N/A,KC 08/13/19,6/16/22 DV,N/A,6.28 MQ,6.28 MQ,,N/A,N/A,N/A,6/13/22 DV,6/16/22 DV,6.28 MQ,6/16/22 DV,KC 08/13/19,N/A,N/A,N/A,MM 2/23/22,,,,"
kt 5/4",kt 5/4,kt 5/4,,6/2/22 DV,ga10.24.22,,,,,,2/15/22 JS,,,3/14/22 KO,3/14/22 KO,,,,,,NA MA 6.19,MO 8/14/19,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMANUEL - PORTER FAMILY MEDICAL,6/6/22 DV,N/A,N/A,2/4/19 HD, KC N/A,N/A,6/9/22 DV,KC 08/13/19,,2/4/19 HD,2/4 HD,N/A,N/A,N/A,6/16/22 DV,KC 08/13/19,3/13 HD,3/13 HD,3/13 HD,3/13 HD,3/13 HD,3/13 HD,6/13/22 DV,6/16/22 DV,4/9/19 HD,6/16/22 DV,KC 08/13/19,KC 08/14/19,,,MM 2/23/22,,,,KD 05/4/20,KD 05/4/20,KD 05/4/20,,6/2/22 DV,ga10.24.22,,,,,,2/21/22 DV,,,3/14/22 DV,3/14/22 DV,,,,,,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMANUEL - RAY MEDICAL CLINIC (RHC),6/6/22 DV,6/8/22 DV,CF 4/24,N/A CF,KC 08/16/19,CF 4/24,6/13/22 DV,N/A CF,,CF 4/24,N/A CF,JS 2/20/19,KC 08/13/19,N/A CF,6/16/22 DV,KC 08/13/19,1/28 JS,CF 5/13,JS 2/18/19,JS 2/18/19,JS 2/18/19,JS 2/18/19,6/13/22 DV,6/16/22 DV,CF 5/30,6/16/22 DV,KC 08/13/19,KC 08/14/19,,CF 5/30,MM 2/23/22,,,,kt 5/4,kt 5/4,kt 5/4,,6/2/22 DV,ga10.25.22,,,,,,2/21/22 DV,,,3/14/22 DV,3/14/22 DV,,,,,,JS 3/1/19,N/A CF,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMANUEL - SWAINSBORO HEALTHCARE,6/6/22 DV,6/8/22 DV,MO 7/11/19,MO 7/11/19,KC 08/16/19,,6/13/22 DV,KC 08/13/19,,MO 7/11/19,MO 7/11/19,MO 7/11/19,KC 08/13/19,KC 08/13/19,6/16/22 DV,KC 08/13/19,MO 7/11/19,MO 7/11/19,,MO 7/11/19,MO 7/11/19,MO 7/11/19,6/14/22 DV,6/16/22 DV,MO 7/11/19,6/16/22 DV,KC 08/13/19,KC 08/14/19,KC 08/14/19,,MM 2/23/22,,,,,,,,6/2/22 DV,ga10.25.22,,,,,,2/21/22 DV,,,3/14/22 DV,3/14/22 DV,,,,,,MO 7/11/19,MO 8/14/19,ADM 6/2/23,ADM 6/2/23,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMANUEL - SWAINSBORO INTERNAL MEDICINE (RHC),6/6/22 DV,6/8/22 DV,CF 4/24,N/A CF,KC 08/16/19,CF 4/24,6/13/22 DV,N/A CF,,CF 2/22/19,N/A CF,CF 2/22/19,KC 08/13/19,N/A CF,6/16/22 DV,KC 08/13/19,CF 5/13,CF 5/13,,CF 5/13,CF 5/13,CF 2/22/19,6/14/22 DV,6/16/22 DV,CF 5/30,6/16/22 DV,KC 08/13/19,KC 08/14/19,,CF 5/30,AC 6/2/2022,,,,,,adm 6/2/23,,AC 6/2/2022,ga10.25.22,,,,,,AC 6/2/2022,,,3/14/22 DV,3/14/22 DV,adm 6/2/23,,,,ADM6/2/23,CF 5/30,N/A CF,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMANUEL - TWIN CITY FAMILY MEDICAL CLINIC (RHC),6/6/22 DV,6/8/22 DV,6/14 MQ,6/14 MQ,KC 08/16/19,N/A,6/13/22 DV,N/A,,MQ 6/14,N/A,MQ 6/14,KC 08/13/19,N/A,6/16/22 DV,N/A,MQ 6/14,MQ 6/7,,NA,NA,NA,6/14/22 DV,6/16/22 DV,MQ 6/7,6/16/22 DV,KC 08/13/19,NA,,,MM 2/23/22,,,,,,,,AC 6/2/2022,ga10.25.22,,,,,,6/2/22 GA,,,3/14/22 DV,3/14/22 DV,,,,,,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAISAL BUKHARI MDSC,6/6/22 DV,6/8/22 DV,MO 10/17/19,MO 10/17/19,KP 6/1/23,KP 6/1/23,6/13/22 DV,MO 10/17/19,NA - KP,NA- KP,NA kp,na kp,na kp,MO 10/17/19,6/16/22 DV,MO 10/17/19,MO 10/17/19,MO 10/17/19,MO 10/17/19,MO 10/17/19,MO 10/17/19,MO 10/17/19,6/14/22 DV,6/16/22 DV,MO 10/17/19,6/16/22 DV,MO 10/17/19,MO 10/17/19,NA KP,NA KP,AC 6/2/2022,MO 10/17/19,MO 10/17/19,MO 10/17/19,5/5 sh,5/5 sh,5/5 sh,,AC 6/2/2022,10.27.22 JM,,,,,,AC 6/2/2022,,,3/14/22 DV,3/14/22 DV,,,,,,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,JS 10/8/19,JS 10/8/19,JS 10/8/19,JS 10/8/19,JS 10/8/19,JS 10/8/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAMILY MEDICAL CLINIC OF TREZEVANT (RHC),6/6/22 DV,6/8/22 DV,MO 1/6/20,MO 1/6/20,,,6/13/22 DV,MO 1/6/20,,,,,,MO 1/6/20,6/16/22 DV,MO 1/6/20,MO 1/6/20,MO 1/6/20,MO 1/6/20,MO 1/6/20,MO 1/6/20,MO 1/6/20,6/14/22 DV,6/16/22 DV,MO 1/6/20,6/16/22 DV,MO 1/6/20,MO 1/6/20,,,AC 6/2/2022,MO 1/6/20,MO 1/6/20,MO 1/6/20,5/18 sH,5/18 sH,,,AC 6/2/2022,10.27.22 JM,,ga10.14.22,,,,AC 6/2/2022,,,3/14/22 KO,3/14/22 KO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERGUSON RURAL HEALTH CLINIC,6/6/22 DV,6/8/22 DV,MO 7/12/19,MO 7/12/19,KC 08/16/19,,6/13/22 DV,N/A KC,,MO 7/12/19,MO 7/12/19,MO 7/12/19,KC 08/13/19,N/A KC,6/16/22 DV,KC 08/13/19,MO 7/12/19,MO 7/12/19,,MO 7/12/19,MO 7/12/19,MO 7/12/19,6/14/22 DV,6/16/22 DV,,6/16/22 DV,KC 08/13/19,KC 08/14/19,KC 08/14/19,MO 7/12/19,KD 6/2/22,KM 12/10,JS 8/14/19,N/A,,,,,KMD 6/1/23,10.27.22 JM,KMD 6/1/23,,,,,KMD 6/2/22,,,3/14/22 DV,3/14/22 DV,,,,,,-,n/a,,,,,N/A,N/A,N/A,JS 7/20/19,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN HEALTH CARE CLINIC (RHC-INDEPENDENT),ga9.29.23,,ga9.29.23,ga9.29.23,ga9.29.23,ga10.11.23,ga9.29.23,ga9.29.23,,,,,,GA9.27.23,ga9.29.23,,,ga9.29.23,ga9.29.23,,ga9.29.23,ga9.29.23,,,ga9.29.23,ga9.29.23,,,,,,,,ga9.29.23,,,,ga9.29.23,ga9.29.23,ga9.29.23,ga9.29.23,,ga9.29.23,,,,ga9.29.23,,ga9.29.23,ga9.29.23,ga9.29.23,ga9.29.23,ga9.29.23,ga9.29.23,ga9.29.23,,GA9.27.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HABERSHAM MEDICAL GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care First Medical Clinic (RHC)- LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE MEDICAL CLINIC,6/6/22 DV,6/8/22 DV,TT 12.7.20,TT 12.7.20,,,6/13/22 DV,TT 12.7.20,,,,,,TT 12.14.20,6/16/22 DV,TT 12.14.20,TT 12.14.20,TT 12.14.20,TT 12.14.20,TT 12.14.20,TT 12.14.20,TT 12.14.20,6/14/22 DV,6/16/22 DV,TT 12.14.20,6/16/22 DV,TT 12.14.20,TT 12.14.20,,,MM 2/23/22,KM 12/10,TT 12.7.20,TT 12.7.20,,,,,6/2/22 DV,10.27.22 JM,,,,,,2/22/22 Dv,,,3/14/22 DV,3/14/22 DV,,,,,,,,,,,,,,,TT 12.7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFF DAVIS FAMILY MEDICAL GROUP,5.3.23 GA,,5.3.23 GA,5.3.23 GA,5.3.23 GA,5.3.23 GA,5.3.23 GA,n/a,n/a,5.3.23 GA,n/a,5.3.23 GA,5.3.23 GA,n/a,5.3.23 GA,5.3.23 GA,n/a,5.3.23 GA,5.3.23 GA,,,5.3.23 GA,,,5.3.23 GA,5.3.23 GA,n/a,,5.3.23 GA,,,,,,5.3.23 GA,,,5.3.23 GA,5.3.23 GA,,5.3.23 GA,5.3.23 GA,,,,,5.3.23 GA,5.3.23 GA,5.3.23 GA,5.3.23 GA,5.3.23 GA,,5.3.23 GA,5.3.23 GA,5.3.23 GA,GA5.3.23,N/A GA,GA5.3.23,GA5.3.23,GA5.3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFFERSON- PHYSICIAN HEALTH GROUP LOUISVILLE,ga10.2.23,6/8/22 DV,KP 2/12/19,KP 2/12/19,KC 08/16/19,KP 2/20/19,6/13/22 DV,N/A,,KP 2/12/19,KP n/a,KP 2/12/19,KC 08/13/19,KP n/a,ga10.2.23,KC 08/13/19,GA 5.23.22,KP 2/12/19,KP 2/25/19,KP 2/25/19,KP 2/25/19,KP 2/25/19,6/14/22 DV,6/16/22 DV,6/14 KP,6/16/22 DV,kp 10/12/20,KC 08/14/19,6/14 N/A KP,6/14 N/A KP,GA 6.2.22,ga10.2.23,KP 10/05/2020,,KP 5/4,KP 5/4,KP 5/4,,GA 6.2.22,ga10.25.22,,,,,,2/22/22 GA,,,3/14/22 DV,3/14/22 DV,,,,,,KP 3/4/19,MO 8/14/19,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEFFERSON- WRENS PHYSICIAN HEALTH GROUP,6/6/22 DV,6/8/22 DV,JS 6/23/19,JS 2/16/19,KC 08/16/19,JS     N/A,6/13/22 DV,JS     N/A,,JS 2/16/19,JS     N/A,JS 2/16/19,KC 08/13/19,JS     N/A,6/16/22 DV,JS     N/A,GA 5.15.22,JS 2/16/19,,JS     N/A,JS     N/A,JS     N/A,6/14/22 DV,6/16/22 DV,JS 6/23/19,6/16/22 DV,kp 10/12/20,JS     N/A,JS     N/A,JS 6/23/19,GA 6.2.22,,,,KP 5/4,KP 5/4,KP 5/4,,6/2/22 Dv,ga10.25.22,,,,,,2/22/22 DRG,GA 5.19.22,,3/14/22 DV,3/14/22 DV,,,,,,JS 4/27/19,JS     N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
